Date,Open,High,Low,Close,Volume,OpenInt
2017-05-12,957.85,957.98,952.06,955.14,1214614,0
2017-05-15,955.29,962.7,952.82,959.22,1332067,0
2017-05-16,963.55,965.896,960.35,964.61,1099932,0
2017-05-17,959.7,960.99,940.06,942.17,2447018,0
2017-05-18,943.2,954.18,941.27,950.5,1800465,0
2017-05-19,952.82,959.56,952,954.65,1359792,0
2017-05-22,957,964.82,956.56,964.07,1384909,0
2017-05-23,969.96,974.51,964.5,970.55,1544933,0
2017-05-24,975.26,978.115,971.63,977.61,1137885,0
2017-05-25,979,995.78,977.82,991.86,1952832,0
2017-05-26,992,996.39,987.36,993.27,1632239,0
2017-05-30,992.5,997.62,991.36,996.17,1516553,0
2017-05-31,996.21,999.6,981.68,987.09,1725758,0
2017-06-01,990.96,993.14,981.29,988.29,1305190,0
2017-06-02,988.59,996.48,987.07,996.12,1734163,0
2017-06-05,997.89,1007.4,995.45,1003.88,1377960,0
2017-06-06,1003.31,1008.61,994.8,996.68,1550832,0
2017-06-07,998.82,1003.91,995.81,1001.59,1372300,0
2017-06-08,1004.23,1005.6,996.62,1004.28,1681411,0
2017-06-09,1005.49,1005.5,953.37,970.12,3643062,0
2017-06-12,958.72,968,936.795,961.81,4197445,0
2017-06-13,972.04,977.91,962.01,970.5,2004195,0
2017-06-14,975.5,979.7,959.51,967.93,1499807,0
2017-06-15,948.02,960.678,940.37,960.18,2369353,0
2017-06-16,957.91,959.95,948.7,958.62,2545952,0
2017-06-19,969.65,979.3,968.2,975.22,1466053,0
2017-06-20,975.31,980.79,968.2,968.99,1297019,0
2017-06-21,970.79,979.67,969.16,978.59,1161607,0
2017-06-22,976.87,980.5,973.315,976.62,1000838,0
2017-06-23,975.5,986.62,974.46,986.09,1547284,0
2017-06-26,990,993.99,970.33,972.09,1516720,0
2017-06-27,961.6,967.22,947.09,948.09,2441836,0
2017-06-28,950.66,963.24,936.16,961.01,2738995,0
2017-06-29,951.35,951.66,929.6,937.82,3203356,0
2017-06-30,943.99,945,929.61,929.61,2285012,0
